INSERT INTO user_interests (user, interests) VALUES ('5', 'political movements');
INSERT INTO user_interests (user, interests) VALUES ('4', 'activism');
INSERT INTO user_interests (user, interests) VALUES ('3', 'civil rights');
INSERT INTO user_interests (user, interests) VALUES ('10', 'political history');
INSERT INTO user_interests (user, interests) VALUES ('8', 'campaigns');
INSERT INTO user_interests (user, interests) VALUES ('5', 'lobbying');
INSERT INTO user_interests (user, interests) VALUES ('7', 'civil rights');
INSERT INTO user_interests (user, interests) VALUES ('4', 'activism');
INSERT INTO user_interests (user, interests) VALUES ('7', 'grassroots movements');
INSERT INTO user_interests (user, interests) VALUES ('9', 'candidates');
INSERT INTO user_interests (user, interests) VALUES ('10', 'campaigns');
INSERT INTO user_interests (user, interests) VALUES ('7', 'political parties');
INSERT INTO user_interests (user, interests) VALUES ('8', 'elections');
INSERT INTO user_interests (user, interests) VALUES ('3', 'political science');
INSERT INTO user_interests (user, interests) VALUES ('1', 'political activism');
INSERT INTO user_interests (user, interests) VALUES ('2', 'political parties');
INSERT INTO user_interests (user, interests) VALUES ('10', 'demonstrations');
INSERT INTO user_interests (user, interests) VALUES ('7', 'civil rights');
INSERT INTO user_interests (user, interests) VALUES ('1', 'activism');
INSERT INTO user_interests (user, interests) VALUES ('3', 'government');
INSERT INTO user_interests (user, interests) VALUES ('7', 'public policy');
INSERT INTO user_interests (user, interests) VALUES ('4', 'social justice');
INSERT INTO user_interests (user, interests) VALUES ('9', 'public policy');
INSERT INTO user_interests (user, interests) VALUES ('6', 'voters');
INSERT INTO user_interests (user, interests) VALUES ('2', 'politics');
INSERT INTO user_interests (user, interests) VALUES ('10', 'political campaigns');
